de,0.814847
tr,0.563886
ll,0.529805
ct,0.529805
ss,0.498823
lo,0.446152
un,0.446152
rt,0.418267
ol,0.412071
ed,0.39658
ee,0.319123
oo,0.235469
gr,0.229273
cr,0.226174
um,0.1797
rr,0.170405
tt,0.154914
pp,0.142521
br,0.133226
fr,0.133226
ff,0.127029
rc,0.111538
cc,0.111538
mm,0.105341
rv,0.0991449
ki,0.0929483
mu,0.08985
rg,0.08985
nn,0.0836535
hu,0.0743587
nu,0.0743587
ft,0.0712604
ny,0.0650638
ju,0.0619655
tc,0.0588673
dd,0.0588673
ik,0.055769
rb,0.0526707
sw,0.0495724
hy,0.0464742
ym,0.0371793
rf,0.0340811
my,0.0278845
gg,0.0247862
az,0.0216879
hn,0.0185897
hm,0.0185897
nm,0.0185897
za,0.0154914
bb,0.0154914
bt,0.0154914
nh,0.0123931
gt,0.0123931
mn,0.0123931
yn,0.00929483
zz,0.00929483
uy,0.00929483
nj,0.00929483
ws,0.00929483
tb,0.00929483
tf,0.00929483
uh,0.00619655
bv,0.00619655
gf,0.00309828
tg,0.00309828
aq,0.00309828
tv,0.00309828
uu,0.00309828
